,name,Name_Matched
401,Maribel Acosta,Q63865447
404,Gillian Dobbie,Q35497758
409,Isabel F. Cruz,Q90664690
411,Alejandra González-Beltrán,Q27824575
413,Anna Lisa Gentile,Q54832532
415,Claudia d'Amato,Q57418697
419,Gianluca Demartini,Q102430988
420,Valentina Presutti,Q56459943
429,Armin Haller,Q58043963
431,Abraham Bernstein,Q26001299
434,Maribel Acosta,Q63865447
449,Krzysztof Janowicz,Q59543045
453,Pasquale Minervini,Q97097768
454,Freddy Lecue,Q54805203
457,Juanzi Li,Q125445288
460,Anna Lisa Gentile,Q54832532
466,Maribel Acosta,Q63865447
467,Hemant J Purohit,Q90041787
471,Gianluca Demartini,Q102430988
475,Ioannis Chrysakis,Q124629113
478,Carole Goble,Q11604
486,Ying Ding,Q93033371
489,Lorena Etcheverry,Q90750787
491,Achille Fokoue,Q108345903
492,Catia Pesquita,Q41049152
496,María Poveda-Villalón,Q58990389
497,Laura Hollink,Q102359488
502,Armin Haller,Q58043963
505,Chen Yanyan,Q16948404
506,Despoina Magka,Q60668160
0,Riccardo Rosati,Q61248440
1,Craig Knoblock,Q60404516
2,Lalana Kagal,Q51508959
3,Wolfgang Nejdl,Q44592959
4,Sören Auer,Q27453085
5,Anisa Rula,Q54851884
6,Ruben Verborgh,Q30085536
9,Giuseppe Loseto,Q98904413
10,Jouni Tuominen,Q96468196
11,Ernesto Jimenez-Ruiz,Q56614973
12,Gianluca Cima,Q113528942
13,Jay Pujara,Q102770389
14,Harald Sack,Q30078997
15,Nandana Mihindukulasooriya,Q53103589
16,Achim Rettinger,Q54811296
17,Christian Bizer,Q17744291
20,Elena Simperl,Q37113655
21,Steffen Staab,Q1764755
22,Heiko Paulheim,Q23709849
23,Jens Lehmann,Q27910398
24,Matteo Palmonari,Q54806715
25,Natalya Noy,Q52174287
26,Pedro Szekely,Q100104271
27,Ralf Lämmel,Q28009024
31,Axel-Cyrille Ngonga Ngomo,Q54828893
32,Domenico Fabio Savo,Q62058414
34,Guangyuan Piao,Q54803609
35,Dennis Diefenbach,Q47515110
36,Domenico Lembo,Q60656018
37,Elena Demidova,Q58311753
38,Esko Ikkala,Q58233386
41,Floriano Scioscia,Q55834004
42,William Van Woensel,Q90832300
45,Mikhail Galkin,Q96631986
46,Max Berrendorf,Q96631515
49,Oscar Corcho,Q54303138
50,Emanuele Della Valle,Q57552900
51,Christophe Guéret,Q57235694
52,Martin Giese,Q59857632
53,Martin Doerr,Q120834803
54,Veronika Thost,Q57193629
55,David Chaves-Fraga,Q111448985
56,Nicolas Tempelmeier,Q102391299
57,Jan Portisch,Q92929240
58,Marcel Hildebrandt,Q106507817
59,Evren Sirin,Q111620956
60,Ivo Velitchkov,Q110818830
67,Stephan Günnemann,Q102402947
70,Konstantin Todorov,Q93028196
71,Pieter Colpaert,Q66736299
79,Alfio M. Gliozzo,Q54832771
83,Oshani Seneviratne,Q109638511
87,Petri Leskinen,Q16984129
95,Evgeny Kharlamov,Q101086361
102,Kholoud Alghamdi,Q114838705
103,Miaojing Shi,Q107273767
105,Tarfah Alrashed,Q111195570
106,Dimitris Paparas,Q102597846
108,Vincenzo Cutrona,Q54806658
110,Julián Arenas-Guerrero,Q118867918
115,Max De Wilde,Q77083794
117,Genet Asefa Gesese,Q106591789
118,Mehwish Alam,Q57965544
121,Trần Trung Kiên,Q121547778
126,Manolis Koubarakis,Q102300805
127,Christos Nikas,Q121059790
132,Dylan Van Assche,Q115156000
133,Philipp Seifert,Q90351061
